Depth    | hidden_dim | Epoch    | ‖H‖₂         | ‖G‖₂         | ρ_GN/H     | ‖G‖₂ bound    
--------------------------------------------------------------------------------------------
2        | 64         | init     | 6.68         | 5.89         | 0.881      | 8.9e+04       
2        | 64         | 1        | 21.07        | 21.04        | 0.999      | 2.1e+05       
2        | 64         | 5        | 10.93        | 10.92        | 0.999      | 4.8e+05       
2        | 64         | 10       | 10.48        | 10.46        | 0.998      | 7.8e+05       
2        | 128        | init     | 7.36         | 6.92         | 0.940      | 1.8e+05       
2        | 128        | 1        | 16.99        | 16.99        | 1.000      | 3.5e+05       
2        | 128        | 5        | 10.72        | 10.73        | 1.000      | 7.7e+05       
2        | 128        | 10       | 6.32         | 6.32         | 1.000      | 1.2e+06       
2        | 256        | init     | 8.00         | 7.87         | 0.984      | 3.6e+05       
2        | 256        | 1        | 14.22        | 14.21        | 1.000      | 6.1e+05       
2        | 256        | 5        | 12.35        | 12.34        | 0.999      | 1.2e+06       
2        | 256        | 10       | 12.49        | 12.45        | 0.997      | 1.9e+06       
4        | 64         | init     | 1.07         | 0.29         | 0.275      | 8.6e+07       
4        | 64         | 1        | 50.49        | 50.50        | 1.000      | 1.9e+09       
4        | 64         | 5        | 12.96        | 13.19        | 1.000      | 1.1e+10       
4        | 64         | 10       | 24.46        | 24.56        | 1.000      | 3.5e+10       
4        | 128        | init     | 1.14         | 0.35         | 0.309      | 6.5e+08       
4        | 128        | 1        | 26.81        | 26.86        | 1.000      | 5.6e+09       
4        | 128        | 5        | 18.28        | 18.31        | 1.000      | 3.2e+10       
4        | 128        | 10       | 9.91         | 9.67         | 0.976      | 1.1e+11       
4        | 256        | init     | 0.94         | 0.42         | 0.443      | 5.3e+09       
4        | 256        | 1        | 22.26        | 22.26        | 1.000      | 2.2e+10       
4        | 256        | 5        | 11.67        | 11.71        | 1.000      | 1.2e+11       
4        | 256        | 10       | 5.16         | 5.04         | 0.975      | 4.3e+11       
8        | 64         | init     | 0.21         | 0.18         | 0.829      | 3.6e+13       
8        | 64         | 1        | 118.74       | 119.76       | 1.000      | 9.1e+16       
8        | 64         | 5        | 62.29        | 62.66        | 1.000      | 2.1e+18       
8        | 64         | 10       | 72.80        | 73.37        | 1.000      | 2.1e+19       
8        | 128        | init     | 0.20         | 0.17         | 0.834      | 4.5e+15       
8        | 128        | 1        | 56.10        | 55.56        | 0.990      | 4.4e+17       
8        | 128        | 5        | 25.46        | 25.36        | 0.996      | 1.7e+19       
8        | 128        | 10       | 30.13        | 30.07        | 0.998      | 2.9e+20       
8        | 256        | init     | 0.18         | 0.16         | 0.858      | 5.6e+17       
8        | 256        | 1        | 43.37        | 43.51        | 1.000      | 1.1e+19       
8        | 256        | 5        | 19.23        | 19.15        | 0.996      | 5.3e+20       
8        | 256        | 10       | 36.23        | 36.27        | 1.000      | 1.1e+22       
