Depth    | hidden_dim | Epoch    | ‖H‖₂         | ‖G‖₂         | ρ_GN/H     | ‖G‖₂ bound    
--------------------------------------------------------------------------------------------
2        | 64         | init     | 1.14         | 0.96         | 0.843      | 2.9e+06       
2        | 64         | 1        | 64.03        | 65.77        | 1.000      | 1.2e+08       
2        | 64         | 5        | 283.42       | 283.43       | 1.000      | 3.1e+09       
2        | 64         | 10       | 332.75       | 332.75       | 1.000      | 1.0e+10       
2        | 128        | init     | 1.47         | 1.41         | 0.957      | 1.2e+07       
2        | 128        | 1        | 122.98       | 122.92       | 1.000      | 6.7e+08       
2        | 128        | 5        | 297.57       | 297.59       | 1.000      | 1.5e+10       
2        | 128        | 10       | 360.03       | 360.01       | 1.000      | 4.8e+10       
2        | 256        | init     | 2.86         | 2.60         | 0.910      | 4.6e+07       
2        | 256        | 1        | 225.13       | 225.14       | 1.000      | 1.7e+09       
2        | 256        | 5        | 590.83       | 590.84       | 1.000      | 4.6e+10       
2        | 256        | 10       | 532.00       | 531.99       | 1.000      | 1.5e+11       
4        | 64         | init     | 0.68         | 0.24         | 0.353      | 2.3e+09       
4        | 64         | 1        | 973.34       | 973.12       | 1.000      | 7.8e+10       
4        | 64         | 5        | 1174.50      | 1174.56      | 1.000      | 1.6e+12       
4        | 64         | 10       | 380.00       | 379.86       | 1.000      | 5.5e+12       
4        | 128        | init     | 0.79         | 0.30         | 0.384      | 3.5e+10       
4        | 128        | 1        | 799.30       | 802.39       | 1.000      | 1.4e+12       
4        | 128        | 5        | 255.71       | 255.72       | 1.000      | 1.9e+13       
4        | 128        | 10       | 131.09       | 131.05       | 1.000      | 7.3e+13       
4        | 256        | init     | 0.98         | 0.31         | 0.311      | 6.1e+11       
4        | 256        | 1        | 696.41       | 692.26       | 0.994      | 2.3e+13       
4        | 256        | 5        | 246.83       | 240.93       | 0.976      | 3.6e+14       
4        | 256        | 10       | 74.11        | 74.12        | 1.000      | 1.4e+15       
8        | 64         | init     | 0.19         | 0.15         | 0.776      | 8.3e+14       
8        | 64         | 1        | 1359.34      | 1354.12      | 0.996      | 4.4e+16       
8        | 64         | 5        | 428.06       | 425.73       | 0.995      | 1.0e+19       
8        | 64         | 10       | 191.44       | 190.86       | 0.997      | 1.7e+20       
8        | 128        | init     | 0.18         | 0.13         | 0.724      | 3.2e+17       
8        | 128        | 1        | 1288.29      | 1286.40      | 0.999      | 3.3e+19       
8        | 128        | 5        | 80.06        | 79.68        | 0.995      | 1.0e+22       
8        | 128        | 10       | 119.73       | 119.59       | 0.999      | 1.9e+23       
8        | 256        | init     | 0.21         | 0.14         | 0.673      | 5.4e+19       
8        | 256        | 1        | 809.33       | 804.53       | 0.994      | 5.8e+22       
8        | 256        | 5        | 75.87        | 75.51        | 0.995      | 7.4e+24       
8        | 256        | 10       | 40.25        | 40.41        | 1.000      | 1.9e+26       
